date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
05:58:04	8145/8145	---M--	200	added ('OK')	image/png	etag:%22b3e8a8cb007a686799e9217e8bb94913%22	https://nft-tailwind.preview.uideck.com/images/artists/image-01.png	/home/bsoft/websites/test/nft-tailwind.preview.uideck.com/images/artists/image-01.png	(from https://nft-tailwind.preview.uideck.com/)
05:58:05	8806/8806	---M--	200	added ('OK')	image/png	etag:%22a15b62b158338ef5241cb94fb49cde92%22	https://nft-tailwind.preview.uideck.com/images/artists/image-02.png	/home/bsoft/websites/test/nft-tailwind.preview.uideck.com/images/artists/image-02.png	(from https://nft-tailwind.preview.uideck.com/)
05:58:06	9214/9214	---M--	200	added ('OK')	image/png	etag:%224b0934a073572328784842aeefa2db4c%22	https://nft-tailwind.preview.uideck.com/images/artists/image-03.png	/home/bsoft/websites/test/nft-tailwind.preview.uideck.com/images/artists/image-03.png	(from https://nft-tailwind.preview.uideck.com/)
05:58:07	11603/11603	---M--	200	added ('OK')	image/png	etag:%22baed2315ca0ba6d63d8edf410846036b%22	https://nft-tailwind.preview.uideck.com/images/artists/image-04.png	/home/bsoft/websites/test/nft-tailwind.preview.uideck.com/images/artists/image-04.png	(from https://nft-tailwind.preview.uideck.com/)
05:58:09	882459/882459	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%227e02ac5a146ef1fff9ee5d2697e56119%22	https://nft-tailwind.preview.uideck.com/images/auctions/image-01.svg	/home/bsoft/websites/test/nft-tailwind.preview.uideck.com/images/auctions/image-01.svg	(from https://nft-tailwind.preview.uideck.com/)
05:58:09	1736/1736	---M--	200	added ('OK')	image/png	etag:%2216e3878df52ba8d6017b5137912882fc%22	https://nft-tailwind.preview.uideck.com/images/auctions/creator-01.png	/home/bsoft/websites/test/nft-tailwind.preview.uideck.com/images/auctions/creator-01.png	(from https://nft-tailwind.preview.uideck.com/)
05:58:11	623831/623831	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22be8f7afb2fe42d0df9923427e2837cad%22	https://nft-tailwind.preview.uideck.com/images/auctions/image-02.svg	/home/bsoft/websites/test/nft-tailwind.preview.uideck.com/images/auctions/image-02.svg	(from https://nft-tailwind.preview.uideck.com/)
05:58:11	2779/2779	---M--	200	added ('OK')	image/png	etag:%2279974ea0fc4dd153baf23517c14d93b2%22	https://nft-tailwind.preview.uideck.com/images/auctions/creator-02.png	/home/bsoft/websites/test/nft-tailwind.preview.uideck.com/images/auctions/creator-02.png	(from https://nft-tailwind.preview.uideck.com/)
05:58:13	717907/717907	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22d75dbabbbe7fecea30d057ed3d54638a%22	https://nft-tailwind.preview.uideck.com/images/auctions/image-03.svg	/home/bsoft/websites/test/nft-tailwind.preview.uideck.com/images/auctions/image-03.svg	(from https://nft-tailwind.preview.uideck.com/)
05:58:13	2975/2975	---M--	200	added ('OK')	image/png	etag:%22e49a1490e0ff00064d88fe156837feba%22	https://nft-tailwind.preview.uideck.com/images/auctions/creator-03.png	/home/bsoft/websites/test/nft-tailwind.preview.uideck.com/images/auctions/creator-03.png	(from https://nft-tailwind.preview.uideck.com/)
